language,name,iso_639_3,genus,family,fusion,source,level,tense,remoteness,obligatoriness,gcode,extra_count,complexity
Orokaiva [okv],Orokaiva,okv,Binanderean,Trans-New Guinea,Concatenative,(Larsen 1977: 14),3,Present / Past / Future,Past: 3,obligatory,orok1269,2,5
Páez [pbb],Páez,pbb,Páezan,Páezan,Concatenative,"(Slocum 1986: 58ff, 62)",3,Present / Past / Future,Past: 3,obligatory,paez1247,2,5
Palauan [pau],Palauan,pau,Palauan,Austronesian,Concatenative,(Flora 1974: 73ff),3,Present / Past / Future,–,obligatory,pala1344,0,3
"Persian (Farsi, Western) [pes]","Persian (Farsi, Western)",pes,Iranian,Indo-European,Concatenative*,"(Dahl 1985: 168, Mahootian 1997)",3,Present / Past / Future,–,obligatory,west2369,0,3
Piaroa [pid],Piaroa,pid,Piaroa,Sáliban,Concatenative,(Mosonyi 2002: 96ff),3,Present / Past / Future,–,obligatory,piar1243,0,3
"Popoloca, Mezontla [pbe]","Popoloca, Mezontla",pbe,Popolocan,Oto-Manguean,Concatenative,"(Veerman- Leichsenring 1991: 122, 202ff)",3,Present / Past / Future,–,obligatory,mezo1235,0,3
Purepecha [tsz],Purepecha,tsz,Tarascan,Tarascan,Concatenative*,(Chamoreau 1998: 58),3,Present / Past / Future,–,obligatory,pure1242,0,3
"Quechua, Imbabura (Quichua, Imbabura Highland) [qvi]","Quechua, Imbabura (Quichua, Imbabura Highland)",qvi,Quechuan,Quechuan,Concatenative*,(Cole 1982: 142ff),3,Present / Past / Future,–,obligatory,imba1240,0,3
Rapanui (Rapa Nui) [rap],Rapanui (Rapa Nui),rap,Oceanic,Austronesian,Isolating*,(Du Feu 1996: 153ff),3,Past / Future / Nonpast,–,optional,rapa1244,0,3
Rengao [ren],Rengao,ren,Bahnaric,Austro-Asiatic,Isolating,(Gregerson 1979: 43ff),3,Present / Past / Future,–,optional,reng1252,0,3
Rotokas [roo],Rotokas,roo,West Bougainville,West Bougainville,Concatenative,(Firchow 1987: 20ff),3,Present / Past / Future,Future: 2,obligatory,roto1249,1,4
Russian [rus],Russian,rus,Slavic,Indo-European,Concatenative*,"(Dahl 1985: 170, Timberlake. 2004)",3,Present / Past / Future,–,obligatory,russ1263,0,3
Shenenawa [swo],Shenenawa,swo,Unclassified,Unclassified,Concatenative,(Cândido 2004: 109ff),3,Present / Past / Future,Past: 4,optional,shan1283,3,6
Siuslaw [sis],Siuslaw,sis,Siuslawan,Oregon Coast,Concatenative,"(Frachtenberg 1922b: 491, 510–2, 527–9)",3,Present / Past / Future,–,obligatory,sius1254,0,3
Sulka [sua],Sulka,sua,Sulka,Sulka,Concatenative,(Tharp 1996: 91ff),3,Present / Past / Future,–,obligatory,sulk1246,0,3
Swedish [swe],Swedish,swe,Germanic,Indo-European,Concatenative,(personal knowledge),3,Present / Past / Future,–,obligatory,swed1254,0,3
Tapiete (Ñandeva) [tpj],Tapiete (Ñandeva),tpj,Tupi-Guarani,Tupian,Concatenative,(González 2005: 154ff),3,Past / Future / Nonfuture,Past: 2 / Future: 2,obligatory,tapi1253,2,5
"Tepehua (Tepehua, Tlachichilco) [tpt]","Tepehua (Tepehua, Tlachichilco)",tpt,Totonacan,Totonacan,Concatenative,(Watters 1988: 265ff),3,Present / Past / Future,–,obligatory,tlac1235,0,3
"Tepehuan, Southeastern [stp]","Tepehuan, Southeastern",stp,Tepiman,Uto-Aztecan,Non-linear,(Willett 1991: 101ff),3,Present / Past / Future,–,obligatory,sout2976,0,3
Tifal [tif],Tifal,tif,Ok,Trans-New Guinea,Concatenative,(Boush 1975: 22),3,Present / Past / Future,Past: 3 / Future: 2,obligatory,tifa1245,3,6
Tiriyó (Trió) [tri],Tiriyó (Trió),tri,Cariban,Cariban,Concatenative,(Meira 1999: 297ff),3,Present / Past / Future,–,obligatory,trio1238,0,3
Tiwi [tiw],Tiwi,tiw,Tiwian,Australian,Concatenative*,(Osborne 1974: 40),3,Present / Past / Future,–,obligatory,tiwi1244,0,3
Turkish [tur],Turkish,tur,Turkic,Altaic,Concatenative*,(Kornfilt 1997: 236ff),3,Present / Past / Future,–,obligatory,nucl1301,0,3
Ulwa (Sumo- Mayangna) [sum],Ulwa (Sumo- Mayangna),sum,Misumalpan,Misumalpan,Isolating/ Concatenative,(Green 1999: 93ff),3,Present / Past / Future,–,obligatory,sumu1234,0,3
Umbugarla [umr],Umbugarla,umr,Umbugarla- Ngumbur,Australian,Concatenative,(Davies 1989: 58ff),3,Present / Past / Future,–,optional,umbu1235,0,3
Ungarinjin (Ngarinyin) [ung],Ungarinjin (Ngarinyin),ung,Wororan,Australian,Concatenative,(Rumsey 1978: 104),3,Present / Past / Future,–,obligatory,ngar1284,0,3
