phylum_family,sub_group,orig_language,language,gcode,system_type,complexity
MACRO-ALGONQUIAN,muskogean,Choctaw,Choctaw,choc1276,-2 N + 2,5
AFRO-ASIATIC,semitic,Arabic (Classical),Classical Arabic,clas1259,-3 N + 3,7
OTO-MANGUEAN,mixtecan,Coatzopan Mixtec,Coatzospan Mixtec,coat1241,-2 N + 3,6
OTO-MANGUEAN,chinantecan,Comaltepec Chinantec,Comaltepec Chinantec,coma1246,-4 N +4,9
OTO-MANGUEAN,mixtecan,Copala Trique,Copala Triqui,copa1237,-2 N + 2,5
INDO-EUROPEAN,slavic,Czech,Czech,czec1258,-2 N + 2,5
INDO-EUROPEAN,germanic,Danish,Danish,dani1285,-2 N + 2,5
ALTAIC,mongolean,Daghur,Dagur,daur1238,-2 N + 2,5
ALTAIC,mongolean,Dongxiang,Dongxiang,dong1285,-2 N + 2,5
AFRO-ASIATIC,omotic,Dorze,Dorze,dorz1235,-2 N + 2,5
INDO-EUROPEAN,germanic,Dutch,Dutch,dutc1256,-2 N + 2,5
OTO-MANGUEAN,otomian,Eastern OtomÂõ,Eastern Otomi,east2737,-2 N + 2,5
ARTIFICIAL,NA,Esperanto,Esperanto,espe1235,-3 N + 3,7
URALIC,finno-urgic,Estonian,Estonian,esto1258,-2 N + 2,5
ALTAIC,tungus,Evenki~Solon,Evenki,even1259,-2 N + 2,5
INDO-EUROPEAN,indo-iranian,Farsi,Farsic-Caucasian Tat,fars1254,-4 N + 3,8
AUSTRONESIAN,oceanic,Fijian (Standard),Fijian,fiji1243,-2 N + 2,5
URALIC,finno-urgic,Finnish,Finnish,finn1318,-2 N + 2,5
INDO-EUROPEAN,italic,Galician,Galician,gali1258,-3 N + 2,6
GE-PANO-CARIB,NA,Carib,Galibi Carib,gali1262,-3 N + 3,7
AUSTRONESIAN,oceanic,Kiribati~Gilbertese,Gilbertese,gilb1244,-2 N + 2,5
INDO-EUROPEAN,hellenic,Greek (Modern),Greek,gree1276,-2 N + 2,5
ANDEAN-EQUATORIAL,arawakan,Guahibo,Guahibo-Playero,guah1254,-3 N + 3,7
AZTEC-TANOAN,NA,Guerrero Nahuatl,Central Guerrero Nahuatl,guer1241,-3 N + 3,7
OTO-MANGUEAN,amuzgoan,Guerrero Amuzgo,Guerrero Amuzgo,guer1243,-3 N + 2,6
OTO-MANGUEAN,zapotecan,Guevea De Humboldt Zapotec,Guevea De Humboldt Zapotec,guev1238,-2 N + 2,5
AUSTRONESIAN,oceanic,Raga,Hano,hano1246,-2 N + 2,5
AFRO-ASIATIC,chadic,Hausa,Hausa,haus1257,-2 N + 5,8
AUSTRONESIAN,oceanic,Hawai`ian,Hawaiian,hawa1245,-2 N + 2,5
AFRO-ASIATIC,semitic,Hebrew (Modern),Modern Hebrew,hebr1245,-2 N + 2,5
MIXE-ZORQUE,NA,Sierra Popoluca,Highland Popoluca,high1276,-2 N + 2,5
INDO-EUROPEAN,indo-iranian,Hindi,Hindi,hind1269,-4 N +4,9
PENUTIAN,mayan,Veracruz Huasteco,Huastec,huas1242,-3 N + 3,7
AUSTRONESIAN,oceanic,Hula,Hula,hula1239,-2 N + 2,5
URALIC,finno-urgic,Hungarian,Hungarian,hung1274,-2 N + 2,5
INDO-EUROPEAN,germanic,Icelandic,Icelandic,icel1247,-2 N + 2,5
INDO-PACIFIC,NA,Ipili,Ipili,ipil1240,-2 N + 3,6
INDO-EUROPEAN,celtic,Gaelic (Irish & Scottish),Irish,iris1253,-2 N + 2,5
INDO-EUROPEAN,italic,Italian,Italian,ital1282,-2 N + 2,5
KHOISAN,NA,Ju/`hoasi,South-Eastern Ju,juho1239,-2 N + 2,5
