"language","language_glottolog","id","name","latitude","longitude","family_id","family_name"
"Kamaiura ","Kamayur�","kama1373","Kamayurá",-12.2661,-53.4651,"tupi1275","Tupian"
"Latvian ","Latvian","latv1249","Latvian",56.826108,24.309118,"indo1319","Indo-European"
"Sa'a ","Sa'a","saaa1240","Sa'a",-9.60258,161.467,"aust1307","Austronesian"
"Persian ","Western Farsi","west2369","Western Farsi",32.9,53.3,"indo1319","Indo-European"
"Sahaptin ","Northwest Sahaptin","yaki1237","Northwest Sahaptin",46.2655,-120.756,"saha1239","Sahaptian"
"Warrongo ","Warrongo","waru1264","Warrongo",-18.2496,144.37,"pama1250","Pama-Nyungan"
"Telugu ","Telugu","telu1262","Telugu",16.4529,78.7024,"drav1251","Dravidian"
"Rotokas ","Rotokas","roto1249","Rotokas",-5.94339,155.154,"nort2933","North Bougainville"
"Ostyak ","Kazym-Berezover-Suryskarer Khanty","khan1273","Kazym-Berezover-Suryskarer Khanty",62.4308,66.1218,"ural1272","Uralic"
"Guugu Yimidhirr ","Guugu Yimidhirr","gugu1255","Guugu Yimidhirr",-14.9424,144.831,"pama1250","Pama-Nyungan"
"Totonac, Filomeno Mata ","Filomeno Mata Totonac","filo1235","Filomeno Mata Totonac",20.1415,-97.5931,"toto1251","Totonacan"
"Kilivila","Kilivila","kili1267","Kilivila",-8.72574,151.072,"aust1307","Austronesian"
"South Efate ","South Efate","sout2856","South Efate",-17.7006,168.377,"aust1307","Austronesian"
"Osage ","Osage","osag1243","Osage",36.7828,-96.2949,"siou1252","Siouan"
"Saami, Skolt ","Skolt Saami","skol1241","Skolt Saami",68.8326,29.7204,"ural1272","Uralic"
"Tidore ","Tidore","tido1248","Tidore",0.02461,127.746,"nort2923","North Halmahera"
"Doromu-Koki ","Doromu-Koki","doro1266","Doromu-Koki",-9.56687,147.986,"manu1261","Manubaran"
"Balese ","Lese","lese1243","Lese",1.3,29.3,"cent2225","Central Sudanic"
"Maale ","Male (Ethiopia)","male1284","Male (Ethiopia)",5.91975,36.9892,"gong1255","Ta-Ne-Omotic"
